INDEX,P_TARGET_WINS
9,65.461345863
10,68.639951354
14,77.736650381
47,83.218801345
60,66.257390144
63,68.473426303
74,79.465011467
83,72.077078728
98,67.667506415
120,74.950379097
123,77.006037282
135,81.871954592
138,80.188588401
140,81.63301754
151,78.609286895
153,78.624061094
171,72.190105085
184,81.523612142
193,66.42698657
213,91.271596383
217,84.481255542
226,89.198086098
230,83.738594167
241,77.223538835
291,80.993668792
294,84.180521541
300,68.953347249
348,75.277176852
350,85.696686549
357,77.504043908
367,91.803169564
368,87.665954341
372,88.586597064
382,92.180325455
388,80.721743743
396,83.907872458
398,75.895327079
403,87.587486309
407,88.005973331
410,87.781266975
412,83.915726011
414,87.877681792
436,47.418452145
440,95.22697882
476,86.715248441
479,90.770263987
481,93.702603852
501,69.413834802
503,68.17950996
506,75.219985932
519,78.109982493
522,86.927282046
550,77.204047903
554,71.255115913
566,76.463875537
578,75.885698771
596,85.702180629
599,66.096858911
605,58.658372126
607,74.135831923
614,82.665567491
644,83.510018342
692,85.076169151
699,82.890649653
700,79.242567643
716,86.082590271
721,74.697355644
722,80.974457949
729,74.021482412
731,82.4977747
746,85.413583479
763,76.474799647
774,82.594529295
776,85.597453177
788,81.220848939
789,85.632434944
792,80.835106012
811,78.522151035
835,66.241607086
837,72.752055535
861,87.420435384
862,87.226161474
863,94.630711984
871,83.295025596
879,86.528734945
887,81.265134906
892,77.123624706
904,82.477365108
909,84.603385839
925,87.240002813
940,78.686057897
951,91.657321626
976,74.68519635
981,76.109498205
983,75.840045828
984,74.861678481
989,84.161356741
995,98.046382874
1000,89.309749338
1001,89.158563847
1007,82.673696602
1016,76.629171075
1027,85.164699318
1033,82.802686631
1070,80.544867189
1081,73.625751481
1084,59.551273136
1098,78.76250557
1150,83.080165962
1160,65.583019152
1169,80.951889142
1172,79.001793793
1174,88.162487151
1176,84.679244302
1178,78.134236167
1184,79.150651754
1193,87.412394688
1196,78.209696774
1199,76.515283725
1207,71.484304881
1218,85.426034873
1223,63.821954999
1226,64.198781052
1227,55.239480846
1229,66.088553687
1241,83.862628929
1244,89.427733709
1246,72.621402594
1248,87.724080811
1249,92.026836599
1253,88.71830585
1261,81.979311646
1305,75.474529814
1314,82.593220772
1323,82.729666285
1328,72.328821013
1353,73.920229253
1363,77.830085266
1371,80.086898615
1372,80.232605784
1389,62.407371143
1393,66.231728573
1421,92.037180286
1431,79.597857787
1437,76.358833771
1442,75.731650084
1450,78.811512455
1463,82.767463711
1464,84.6864511
1470,79.603119846
1471,80.787463376
1484,79.645958035
1495,71.850988909
1507,71.982832406
1514,76.950911104
1526,71.813711848
1549,82.099411818
1552,70.518205446
1556,86.07002552
1564,70.874743131
1585,98.968261965
1586,102.53757158
1590,90.24692792
1591,101.27812176
1592,95.87924441
1603,89.548295649
1612,85.383307824
1634,81.609812731
1645,72.011157378
1647,81.494714789
1673,83.066216927
1674,82.287816449
1687,80.724437665
1688,91.038098908
1700,83.432980451
1708,79.099051777
1713,81.853781296
1717,77.456094424
1721,77.048850824
1730,81.694434745
1737,76.489465383
1748,82.670493827
1749,83.797772124
1763,83.866366408
1768,94.67558242
1778,84.517677168
1780,90.440826865
1782,67.125980006
1784,65.7174514
1794,104.94049596
1803,70.977354191
1804,76.678020591
1819,73.742710278
1832,79.79267004
1833,82.979336474
1844,72.794848119
1847,77.638449727
1854,81.518164912
1855,80.061171816
1857,85.152759269
1864,77.668582406
1865,80.207266848
1869,72.693722743
1880,84.410193611
1881,77.999483967
1882,79.351422014
1894,80.538361271
1896,76.181010812
1916,79.7919498
1918,75.863187106
1921,95.672798954
1926,88.301500601
1938,78.563232082
1979,70.422088769
1982,73.04530276
1987,85.960536817
1997,82.021823602
2004,83.470456443
2011,75.651748468
2015,75.681356267
2022,79.424084253
2025,72.993493837
2027,83.842466889
2031,76.651962673
2036,96.091100174
2066,74.508991402
2073,79.243549065
2087,80.807624473
2092,80.559936137
2125,78.081306233
2148,72.166193639
2162,88.97666557
2191,83.828656117
2203,85.575991939
2218,79.257245091
2221,73.061027253
2225,83.080448731
2232,74.297828697
2267,88.647170419
2291,70.740494365
2299,86.96362533
2317,87.194707735
2318,85.516662636
2353,81.323623526
2403,63.507193652
2411,87.342779677
2415,78.35895804
2424,80.76824976
2441,73.969866461
2464,81.459712437
2465,80.858675407
2472,66.528097438
2481,92.001479965
2487,30.178684826
2500,69.664389565
2501,80.917494993
2520,74.323104532
2521,78.396193156
2525,75.232634101
