INDEX,P_TARGET_FLAG,P_TARGET_AMT
3,0.2193489492,907.07849
9,0.2711728393,1964.36354
10,0.3088425623,1340.40849
18,0.3985038506,1590.94833
21,0.3209394002,2212.50883
30,0.2670292221,1288.3755
31,0.2046357841,1282.88825
37,0.356038962,976.88210051
39,0.1749824548,1382.16513
47,0.1085699106,1282.88825
60,0.232084228,865.32185
62,0.4769196727,1716.21825
63,0.2762484085,1410.2121005
64,0.2026406057,2236.15423
68,0.2645624314,1932.88325
75,0.2579123171,1590.94833
76,0.3376176185,1875.0223905
83,0.195538202,614.78201
87,0.4105434591,1961.96899
92,0.3010287657,1288.3755
98,0.5542604772,2003.72563
106,0.1536702482,1423.92177
107,0.0668039144,1382.16513
113,0.2003844972,1282.88825
120,0.2190176894,1249.01341
123,0.3146906327,2212.50883
125,0.4000761518,1627.91587
126,0.1503341628,2614.35854
128,0.1095330962,1282.88825
129,0.0643392975,1410.2121005
131,0.1473569047,698.29529
135,0.381998979,1455.40206
141,0.1318642422,614.78201
147,0.1560512064,740.05193
148,0.1726688389,1282.88825
151,0.1436009877,1716.21825
156,0.1402598483,1626.8771005
157,0.360430022,1413.64542
174,0.1156620691,614.78201
186,0.3576399049,2181.02854
193,0.2634908007,1306.53365
195,0.3825772985,1282.88825
212,0.1908783384,531.26873
213,0.5541187851,2677.31912
217,0.1036121227,998.47357
223,0.0923855094,907.07849
226,0.1027139078,1588.55378
228,0.2756472063,2270.02907
230,0.1253282528,1074.10505
241,0.378675241,1640.58677
243,0.1418662449,580.90717
249,0.4295350756,2385.02264
281,0.5928693268,3110.64912
288,0.1614612104,823.56521
294,0.3600729038,1972.24534
295,0.2484753776,1632.70497
300,0.2310588567,1419.13267
302,0.3894071717,1204.86222
303,0.0965952469,740.05193
308,0.2947052391,1932.88325
319,0.1124764117,740.05193
320,0.0884364246,907.07849
324,0.3997923675,1377.37603
331,0.3290115897,1920.21235
343,0.0862258411,1032.34841
347,0.2621158988,1928.09415
348,0.6499159654,1961.96899
